content	person
身怀绝技11款低价主流智能手机推荐智能手机一直以来以强大的功能和扩展性受到手机玩家的拥护，但是高高再上的价格让不少消费者望而却步。而作为一款千元级别的智能手机来说，虽然配置平庸，但功能却足够日常使用。下面，笔者就为大家搜罗了几款市面上1500元左右的经典智能机型，他们都身怀绝技，喜欢的朋友不妨考虑下吧！●从上市就一直热销HTCTouch(热评)HTC版S1是一款受欢迎的智能商务机，由于HTC的相关产品具有WiFi功能和实惠的价格，所以该机目前1599元的报价成为了低价位主流智能机的首选机型。多普达S1机身采用了201MHz的TIOMAP850中央处理器，拥有64MBRAM+128MBROM，2.8英寸的65536色QVGA屏幕，除次，S1最大卖点增加了TouchFlo操作界面。这与iPhone所展现出的强大屏幕操控性非常类似。不仅如此，在人机交互界面的设计上，也有颇具突破精神的尝试，为PPC操作带来革命性新体验。200万像素摄头+自拍镜，多普达S1如此醒目精致的摄像头，宽大饱满的屏幕依旧是拍摄取景的高手，横向全屏取景方式也是让人大呼过瘾。在影音娱乐和商务表现上，S1凭着强大的PPC系统，加上便捷的触控操作，丰富多样的娱乐特点也是毫不意外，精彩音乐表现尽在掌中随身。同样，S1不会给专注商务的你留下遗憾。PushMail的大名早有耳闻——邮件跟着手机走，其实就是这么简单。虽然S1精英版的售价已跌破2000元，但对于入门级用户来说，64MBRAM+128MBROM等配置足够使用。毕竟这款普通版S1仅1599元的售价要比精英版省了不少银子。HTC(宏达)Touch[参考价格]1599元（改版机）	
上攻行情如期来临3180为年底第一目标华讯财经11月迎来开门红。呈现放量上攻、个股普涨格局。受美元大幅走低的影响，两市高开后快速上攻至3000点关口，并成功收复10日和5日均线。盘面上看，创业板并没有受首批12亿限售股解禁影响，反而是大幅上涨，这无疑带动了市场人气。永磁、黄金、多晶硅、低碳等概念纷纷大涨，而有色、煤炭板块的强势拉升更是让场外资金大幅进场。与此同时，西藏、内蒙、青海等区域板块也有远强于大盘的表现。受调控政策进一步趋紧的影响，地产再次处于跌幅板前列，而化纤、旅游、电力、水泥、传媒等板块表现亦逊色一些。尾盘，股指在3050关口前整固并成功攻破。至收盘时，两市9成个股上扬，沪指收在3054.05点，大涨2.52%，两市66只个股涨停，无非ST个股跌停，成交量2539亿，比上一交易日大幅增加。消息面上看，今日公布的PMI数据符合市场预期，环比上月再度明显提升。这表明国内制造业在节能减排、地产投资减速、外围经济复苏糟糕等等不利情况下依旧有良好表现，当然维护了市场信心。煤炭板块在原油价格盘整阶段依旧能得以充当领头羊，还在于未来资源价格上涨预期强烈，当然，电力企业的亏损却不能反过来让煤企让利，也是板块得以持续暴涨的重要原因。另外，就钢铁板块而言，虽有强势涨停的包钢、广钢吸引眼球，但还是不能带动该板块三个龙头品种强势反弹，根本原因在于行业进入需求淡季，业绩提升没有太大想象空间。至于印度呼吁禁止该国铁矿石出口，虽一定程度上推动国内进口印度矿石上涨压力，但全球铁矿石市场暂时依旧低迷。行业的最大困境还在于下游需求的疲软。华讯投资认为，短期多头已经占据盘面主动，后期还有惯性上攻动力。股指在2950点附近止跌企稳并再一次站稳5日线，宣告持续多日的回调结束，后期大盘将进一步巩固箱体上沿，并为下一轮反攻蓄势。图形上看，3160-3180区间依旧是上方的最强压力位，而年线位置2890-2900一带有强支撑。日MACD指标来看，放量上攻避免了高位死叉的结局，而周MACD指标来看，DIF已经上穿至0轴以上，且红烛继续变长。影响本周股指运行的消息面在于外围。本周美联储、欧洲央行等发达国家的最新利率政策备受市场关注，另外美联储关于量化宽松政策的具体金额及实施方案也决定了未来一段时间全球流动性的总量。人民币升值和大宗商品价格持续走高的态势近期不会改变，而升幅则影响股指反攻高度。操作上，投资者可积极关注沿5日线上行的强势品种，并适当参与。关注人民币升值受益板块，抗通胀品种，军工为首的重组个股，依旧有强烈补涨要求的二线蓝筹品种。更多资讯和数据点击进入股票频道	
新中关多变一月好礼多Change,Yeswecan!多变一月，魅力新颜！活动一：Change!Gifttoawholenewme!完美变身搏大礼！想换掉办公室行头吗？想艳压群芳变身2009新年PartyQueen/King吗？新年变装已刻不容缓，Gate新中关倾情奉献，帮您从头到脚变个彻底！变身再拿超值大礼，您还等什么？活动时间：1月1日-1月31日参与店铺：见Excel表参与方式：1、获取“Change变身卡”；2、消费美容美发护理类、饰品类、服装类、鞋类任意金额的商品，即可至服务台及会员中心在“change变身卡”上加盖变身章；3、凭不同的变身章组合获取超值大礼包！一枚章礼包：1、奥力健身体验卡两张或金逸影院30元代金券两张；2、全天免费停车券两张(有效期为一月全月任意一天)二枚章礼包：1、镜界趣味写真一张(有效期为一月全月任意一天)2、奥力健身体验卡两张或金逸影院30元代金券两张；3、全天免费停车券两张(有效期为一月全月任意一天)4、Mr.G精美扑克两副三枚章礼包：1、爱乐游园地全天免费体验卡一张(有效期截止至2月28日)2、电影票礼券两张3、镜界趣味写真一张(有效期为一月全月任意一天)4、奥力健身体验卡两张或金逸影院30元代金券两张；5、全天免费停车券两张(有效期为一月全月任意一天)6、Mr.G精美扑克两副四枚章礼包：1、滑雪票两张(有效期截止至2月28日)2、爱乐游园地全天免费体验卡一张(有效期截止至2月28日)3、电影票礼券两张4、镜界趣味写真一张(有效期为一月全月任意一天)5、奥力健身体验卡两张或金逸影院30元代金券两张；6、全天免费停车券两张(有效期为一月全月任意一天)7、Mr.G精美扑克两副活动二：Changetowin!积分Change大比拚！Gate新中关年末会员回馈，送礼送积分，兑换FUN不停！活动时间：1月1日-1月31日Gate新中关奉献：1、提供丰厚积分兑换礼品2、推出网络积分兑换服务，凡在活动期内通过网络及kiosk屏积分兑换的会员，均可获10%所兑换积分额作为回馈3、当月累计积分兑换前10名的会员，赠送10000分积分奖励会员参与方式：通过www.thegate.cn会员中心或商场KIOSK屏兑换积分，换取精美礼品+10%所兑换积分奖励+10000分积分奖励(当月累计积分兑换前10名)活动三：Changeforabiglove!辞旧迎新爱心年！活动时间：1月10日-2月9日地点：四层会员中心参与方式：帮助儿童福利机构的小朋友也过一个好年。Gate新中关与搜狐女人频道合作设立“辞旧迎新爱心年”慈善捐赠点，呼吁您的爱心，并赠送礼物感谢您的善举。小朋友们需要的是：床单、被罩、婴儿用品、电脑、文具、小羽绒服、零食。(以上除电脑，均需新品)活动四：Changeforahappynewyear!跨年迎新展活动时间：1月17日-2月9日地点：二层中庭及Gate新中关内	
西门子人气滚筒降价送好礼京东热卖外观上，这款西门子WM170XS依然采用简洁设计，白色造型易与其它家具想搭配。操作面板虽然没有配置显示屏，但是五颜六色的指示灯可以清晰的显示洗衣机的运行状态。编辑点评：这款西门子灵趣系列WM170XS，4.5kg的洗涤容量，足以满足日常的洗涤需要。另外，能效等级为1级，比较节能。西门子WM170XS[参考价格]2788元[推荐商家]国美网上商城	
联手NVIDIA微软明年推ZunePhone手机微软的胃口可真大，不但要涉足掌机领域，现在又对手机感兴趣了，而且这次还找了个重量级的合作伙伴—NVIDIA。将NVIDIA的超强显卡技术，通过微软的WM平台整合，这样的手机确实令人期待啊。微软是为老手，做事讲究步步为营，不会去打没有把握的仗，这就容易显得拖沓，今年年初曾传闻微软将会插手游戏手机的研发，这样可以理解，X360的表现与PSP有的一拼。随后又有消息，微软很有可能将会在未来不久推出一款ZunePhone。直到近日最新消息，微软一款与NVIDIA合作的产品会在明年2月的3GSM大会上发布，更进一步证实了此前的种种传闻。不过想如苹果一样赚得的盆满钵圆，现在看来所有厂商都有有难度，微软也是如此，不过现在既然联合了NVIDIA公司，手机产品的显示硬件必然有个飞跃，加入更多娱乐操作的环节必然能令这款产品高人一筹。明年的WindowsMobile6.5、7平台会不会用在这款手机上也是人们值得讨论的话题之一。	
少年为玩游戏卖掉右肾换来3000元(组图)第一幕“肾头”在医院门口火拼	
河南08年下半年自学考试报考通知网上报名：8月1日——9月7日现场确认：9月1日——9月7日下午5：30(确认期间是否可以网上报名请咨询相应报名点)更多信息请访问：新浪自考频道自考论坛自考博客圈特别说明：由于各方面情况的不断调整与变化，新浪网所提供的所有考试信息仅供参考，敬请考生以权威部门公布的正式信息为准。网上报名：8月1日——9月7日现场确认：9月1日——9月7日下午5：30(确认期间是否可以网上报名请咨询相应报名点)更多信息请访问：新浪自考频道自考论坛自考博客圈特别说明：由于各方面情况的不断调整与变化，新浪网所提供的所有考试信息仅供参考，敬请考生以权威部门公布的正式信息为准。	
另类丰胸新体验浴缸里的丰胸按摩导语：想体验一下另类丰胸的感觉吗？如果家里有个浴缸，就能轻松做到。在浴缸中进行胸部按摩，体验一下在水中按摩胸部的感觉。具体步骤如下：1、给浴缸里放水，保证水位刚好高过身体即可，把水的温度控制在40度左右，不要太烫，体温高一点点就可以了。2、躺在浴缸里边，用搓澡浴巾把全身擦洗干净，直到全身有发热的感觉。3、用手按摩乳房，按摩时间在5分钟左右即可。4、拿一把柔软的刷子，从乳房内侧划弧线，往外侧刷洗乳房。5、把水龙头开大，一边冲洗乳房一边刷。6、出浴，坐在浴缸边上，抹上滋润霜，双手按照顺时针的方向轻轻按摩乳房10分钟左右。7、用冷热毛巾交替擦拭乳房，进行冷热刺激，每5分钟换一次。8、如果乳房有些下垂，可以用淋浴喷头从乳房下方向上冲刷，并同时按摩乳房。在以上方法中需要注意的是乳房淋浴按摩，最好是在睡觉前或者起床后洗澡时进行。在按摩的时候不要使用精油或者其他刺激性药物，使用普通的淋浴乳或者香皂液就可以了。按摩前一定要把双手洗干净，如果指甲太长就剪短，否和伤了乳头或者皮肤就不得了了。当然，并不是只有利用盆浴才可以做胸部按摩的，淋浴同样可以进行以上动作，而且从某些方面来说，它要比盆浴更加有利于胸部的发育。如在淋浴时利用喷头用热水和冷水交替着从下往上冲洗来刺激乳房，非常有利于如乳房的丰满和坚挺。因为短时间内的低温刺激，能够有效的改善乳腺组织的机结构，可以提高其张力，进而出尽生长发育。洗完后，趁着身体微热时擦上滋润霜，做个胸部按摩将更加有利于乳房的发育，而且利于淋浴水流对胸部的冲击按摩，不但可以健美乳房，还可以让乳晕的颜色和乳房形状变的更加漂亮。	
基金提前潜伏业绩暴增股216家公司中期预增翻番记者高丽霞2011年中报就将在本周拉开帷幕了。统计显示，今年中期的业绩预告中，喜多忧少。靓丽的中报业绩惹得市场蠢蠢欲动，也成为近期市场向上的主要动力。记者统计发现，在已经披露业绩预告的上市公司中，216家公司业绩翻番，而基金早于今年一季度就开始重仓布局就有146只。超六成公司业绩翻番Wind统计显示，截至昨日两市共有905家公司发布了今年中期的业绩预告，其中预增的个股多达714只，占比接近80%，业绩翻番的个股也多达216只。在这216只中期业绩暴增的个股中，基金于今年一季度重仓持有的就有146只。在沪深两市中报业绩增幅排行榜中，增长幅度在100倍以上的共有四家公司。上海新梅(600732)、恒逸石化(000703)、新华联(000620)、青海明胶(000606)分列前四位。不过这四只个股业绩的大幅增长均不是由于主营收入增长所带来的，要么是出售股权所获得的收益，要么是沾了重组的光。对于这种业绩变相暴增的公司，基金似乎兴趣不大，一季度这四只业绩增幅最大的个股均未获得基金的“光顾”。上海新梅同比业绩增幅105370%，位居两市之首。去年中期上海新梅仅实现净利润6.16万元。但今年中期公司预计2011年半年度归属于上市公司股东的净利润为5500万元—6500万元。业绩大幅增长主要是由于公司转让上海新兰房地产开发有限公司股权所产生的投资收益得以确认，且报告期内结转的营业收入增加。或许是由于业绩增长主要是来源于股权转让，而并非公司经营业绩的好转，上海新梅在二级市场上并无突出表现，此外一季度各大基金均没有光顾这只股票。排名第二是去年中小板新上市的恒逸石化，其预计今年中期将实现净利润11.24亿元—12.36亿元。不过，恒逸石化业绩的大幅增长，却是沾了重组的光。重组完成后的6月11日，恒逸石化即发布了业绩预盈公告，预计2011上半年实现净利润为11.24亿元-12.36亿元，半年的净利润已超过全年的业绩承诺。公司股价也从去年启动重组之初的10元左右，上涨至目前的44元附近，并曾经在今年4月中旬创下过54.50元的高点。新华联以19352%的业绩增幅暂居第三位。新华联的业绩增长也是来源于重组，公司借壳停牌了长达五年之久的S*ST圣方。新华联一复牌，在涨幅不受限制的复牌首日即恐怖大涨，从1.17元/股一口气狂涨到10.52元/股。此外，中期业绩增长在100倍以上的还有青海明胶，公司预计上半年实现净利润约3700万元，同比增长14478.41%。这一变化是由于公司转让四川禾正制药有限责任公司股权并确认相应收入而致。今年中期业绩增长幅度在10倍以上的公司还有冠福家用(002102)、ST张家界(000430)、美欣达(002034)、天伦置业(000711)、西安旅游(000610)等18只；业绩增长幅度在5至10倍的则有经纬纺机(000666)、维科精华(600152)、山东海化(000822)、美邦服饰(002269)、太极实业(600667)等22只。基金重仓提前布局在这216家一季度业绩增长至少一倍的个股中，基金于去年四季度重仓的就多达146只，占比高达68%。其中威孚高科(000581)赢得了众多的基金的青睐。截至一季度末，共有34只基金持有威孚高科，基金合计持股13013.51万股。不过与上期相比，基金还是减持了7246万股。华夏、易方达旗下均有四只基金持有威孚高科，分别合计持股2773.88万股、1409.57万股。南方基金旗下更是有5只基金持有该股，此外去年的冠军产品华商盛世成长也持有1109.73万股，其同门基金华商策略精选则持有897.17万股。一季度潜伏在金发科技(600143)的基金也多达32只，合计持有20542.04万股。兴业基金、信诚基金旗下各有四只产品均重仓持有该股，其中兴业基金持股最多，合计持股5037.56万股。东吴基金旗下更是有5只产品持有该股，合计持有1280.39万股。一季度末潜伏的基金数在20家以上的还有包钢稀土(600111)、中集集团(000039)、广汇股份(600256)、天山股份(000877)。获得10只-20只基金潜伏的则有中国北车(601299)、双鹭药业(002038)、金螳螂(002081)、山东黄金(600547)、辰州矿业(002155)、中恒集团(600252)、中环股份(002129)等21只个股。从行业分布来看，基金一季度末最青睐的行业是石油化学塑料塑胶，在这216只业绩翻番的公司中，石油化学塑料塑胶行业的就有31家，其次是机械设备仪表，基金一季度提前潜伏的有20家，第三位是金属、非金属行业，有19家。	
民生证券：资金面不低头A股难抬头□民生证券研究所策略团队上调存准率之后，加息预期再起，市场由此也出现了连续破位下跌的走势。本周二公开市场一年期央票利率继续走高10BP，由于已在市场预期之内，市场反应较为平淡，我们预计6月到7月央行还会再次加息。在资金面压力依然较大，而物价回落及政策转向信号并未出现之前，市场筑底的格局不会改变，投资者可逢低布局大消费、业绩确定的成长股和航空板块。经济增速温和走低5月经济数据进一步验证了我们对于未来经济的判断，即去库存周期下，经济增速进一步温和走低。5月工业增加值同比增长13.3%，在4月13.4%的基础上低位趋稳。5月消费和出口实际增速明显回落，但投资需求依然旺盛，实际增速继续上行，预计宏观经济将于三季度实现软着陆。从三驾马车的表现来看，投资需求旺盛，终端消费增速继续放缓。5月份，社会消费品零售总额同比增长16.9%，低于市场17.4%的同比增速预期，较4月回落0.2个百分点。扣除出口价格提高和人民币升值的影响，5月出口实际增长2.5%，比4月回落9.5个百分点。5月投资需求依然旺盛，剔除投资价格上涨因素，5月投资实际增长19.0%，比4月提高0.6个百分点。“提准”重挫资金面自5月中旬上调准备金率以来，银行体系的流动性持续偏紧。6月14日央行再次提高存款准备金率，从而令本已偏紧的资金面进一步趋紧。本次调准后货币市场资金利率再次大幅走高，并带动国债收益率上行。6月21日SHIBOR7天利率已经飙升至8.33%，创今年2月以来的新高，Shibor隔夜利率也上升至7.14%的高位。我们认为，6月底之前宏观资金面压力不会减轻，短期资金利率波动将加大。首先，由于6月份是银行半年度报表考核的关键时期，因此本身就是传统的资金需求旺季；其次，由于一季度末金融机构超储率为1.5%，预计本次提准后银行超储率将进一步降低，对资金面的边际影响会明显放大；再次，商业银行实施日均存贷比考核使得银行月末腾挪表外资产的策略失效；最后，由于上一次提准造成的流动性的紧张局面还未得以缓解，此次存准的上调无论是从资金存量还是心理预期方面，都将进一步放大短期资金利率的波动。物价拐点隐现紧缩政策趋于谨慎5月CPI同比上涨5.5%，创下34个月以来的新高。但从环比数据来看，物价走势出现了一些积极的变化，其中PPI环比上涨0.3%，较4月环比回落了0.2%，原材料购进价格也出现了0.5%的环比回落。在翘尾因素的影响下，CPI有可能在6、7月份再创本轮通胀的新高，但之后物价将缓慢回落，四季度有望明显回落，预计今年11月和12月CPI同比涨幅将回落至4%左右。从通胀走势来看，如果下半年通胀压力真能有效缓解，物价下行将是大概率事件。从经济下行风险来看，目前阶段实体经济已经出现了经济下行的迹象，且微观调研数据表明实体经济的需求也已呈现出下行迹象。从货币紧缩的程度来看，准备金率上调和预期内的一次加息对经济的调控作用将边际递增。故我们预计通胀环比下降将是政策拐点的催化剂，从时间上看，2011年7、8月份紧缩政策仍将继续谨慎。8月前筑底格局难改我们预计6月资金压力将维持高位，短期市场仍将延续筑底格局。受翘尾因素的影响，6月CPI存在继续上冲的风险，但食品价格将于下半年趋稳，同比涨幅回落，预计物价将于6-7月见顶、8月份回落。在通胀拐点可期、经济回落的背景下，下半年紧缩政策的进一步实施趋于谨慎。在通胀回落没有得到数据验证之前，市场对通胀的压力仍然难以释怀，短期市场继续筑底。不过，我们认为，8月以后市场有望迎来反转行情，全年将演绎“N”型走势。8月份以后，通胀回落趋于明朗，政策的核心将由控物价转向稳增长、促转型，宏观经济也将于三季度触底。届时，投资者预期向好，制约市场的力量将显著减轻，8月份以后市场有望迎来趋势性的反转行情。我们看好经济结构转型背景下的食品饮料、商贸、家电等大消费板块、以计算机信息服务为代表的新兴成长板块、受益于人民币加速升值，以及即将进入旺季的航空板块，建议积极布局。点击进入[上证指数吧]讨论	
